"id","description","last_updated"
"320359","Beef, eye of round roast, raw (ER37-R-11)","2019-04-01"
"320360","Beef, eye of round roast, raw (ER37-R-16)","2019-04-01"
"320361","Beef, eye of round roast, raw (ER37-R-17)","2019-04-01"
"320362","Beef, eye of round roast, raw (ER37-R-18)","2019-04-01"
"320363","Beef, eye of round roast, raw (ER37-R-22)","2019-04-01"
"320364","Beef, eye of round roast, raw (ER37-R-23)","2019-04-01"
"320365","Beef, eye of round roast, raw (ER37-R-28)","2019-04-01"
"320366","Beef, eye of round roast, raw (ER37-R-29)","2019-04-01"
"320367","Beef, eye of round roast, raw (ER37-R-35)","2019-04-01"
"320368","Beef, eye of round roast, raw (ER37-R-36)","2019-04-01"
"320369","Beef, eye of round steak, raw (ES36-R-10) ","2019-04-01"
"320370","Beef, eye of round steak, raw (ES36-R-11) ","2019-04-01"
"320371","Beef, eye of round steak, raw (ES36-R-16) ","2019-04-01"
"320372","Beef, eye of round steak, raw (ES36-R-17) ","2019-04-01"
"320373","Beef, eye of round steak, raw (ES36-R-18) ","2019-04-01"
"320374","Beef, eye of round steak, raw (ES36-R-22) ","2019-04-01"
"320375","Beef, eye of round steak, raw (ES36-R-23) ","2019-04-01"
"320376","Beef, eye of round steak, raw (ES36-R-28) ","2019-04-01"
"320377","Beef, eye of round steak, raw (ES36-R-29) ","2019-04-01"
"320378","Beef, eye of round steak, raw (ES36-R-35) ","2019-04-01"
"320379","Beef, eye of round steak, raw (ES36-R-36) ","2019-04-01"
"320380","Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean","2019-04-01"
"320381","Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean","2019-04-01"
"320382","Beef, Eye of Round roast/steak, lean only, raw, animal 10, select","2019-04-01"
"320383","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select","2019-04-01"
"320384","Beef, Eye of Round roast/steak, select, raw, comp5, lean (36BRERS/37BRERRS)","2019-04-01"
"320385","B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp5, lean","2019-04-01"
"320386","FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean","2019-04-01"
"320387","Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean","2019-04-01"
"320388","Beef, Eye of Round roast/steak, lean only, raw, animal 11, select","2019-04-01"
"320389","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select","2019-04-01"
"320390","Beef, Eye of Round roast/steak, lean only, raw, animal 16, select","2019-04-01"
"320391","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select","2019-04-01"
"320392","Beef, Eye of Round roast/steak, lean only, raw, animal 17, select","2019-04-01"
"320393","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select","2019-04-01"
"320394","Beef, Eye of Round roast/steak, lean only, raw, animal 18, select","2019-04-01"
"320395","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select","2019-04-01"
"320396","Beef, Eye of Round roast/steak, select, raw, comp6, lean (36BRERS/37BRERRS)","2019-04-01"
"320397","B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp6, lean","2019-04-01"
"320398","Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean","2019-04-01"
"320399","FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean","2019-04-01"
"320400","Beef, Eye of Round roast/steak, lean only, raw, animal 22, select","2019-04-01"
"320401","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select","2019-04-01"
"320402","Beef, Eye of Round roast/steak, lean only, raw, animal 23, select","2019-04-01"
"320403","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select","2019-04-01"
"320404","Beef, Eye of Round roast/steak, lean only, raw, animal 28, select","2019-04-01"
"320405","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select","2019-04-01"
"320406","Beef, Eye of Round roast/steak, lean only, raw, animal 29, select","2019-04-01"
"320407","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select","2019-04-01"
"320408","Beef, Eye of Round roast/steak, lean only, raw, animal 35, select","2019-04-01"
"320409","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select","2019-04-01"
"320410","Beef, Eye of Round roast/steak, lean only, raw, animal 36, select","2019-04-01"
"320411","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select","2019-04-01"
"320413","TOMATOES, GRAPE","2019-04-01"
"320414","TOMATOES, GRAPE","2019-04-01"
"320415","TOMATOES, GRAPE","2019-04-01"
"320416","TOMATOES, GRAPE","2019-04-01"
"320417","TOMATOES, GRAPE","2019-04-01"
"320418","TOMATOES, GRAPE","2019-04-01"
"320419","TOMATOES, GRAPE","2019-04-01"
"320420","TOMATOES, GRAPE","2019-04-01"
"320421","TOMATOES, GRAPE","2019-04-01"
"320422","TOMATOES, GRAPE","2019-04-01"
"320423","TOMATOES, GRAPE","2019-04-01"
"320424","TOMATOES, GRAPE","2019-04-01"
"320425","TOMATOES, GRAPE","2019-04-01"
"320426","TOMATOES, GRAPE","2019-04-01"
"320427","TOMATOES, GRAPE","2019-04-01"
"320428","TOMATOES, GRAPE","2019-04-01"
