"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"321531","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-15","","PA1","","","7AT 422816 302:17","","PITTSBURGH","SHOP N SAVE","PA","24000162865"
"321532","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-15","","CA1","","","7AT 422816 201:16","","PALMDALE","SAMS CLUB","CA","24000162865"
"321533","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-15","","CA1","","","7AT 422816 201:17","","PALMDALE","SAMS CLUB","CA","24000162865"
"321534","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-15","","CA1","","","7AT 422816 501:41","","PALMDALE","SAMS CLUB","CA","24000162865"
"321539","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2016-08-29","","CA2","","","7AT 324207 D14:44","","BONITA","VONS MARKET","CA","24000162865"
"321540","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2016-08-29","","CA2","","","7AT 324207 D14:44","","BONITA","VONS MARKET","CA","24000162865"
"321541","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2016-08-29","","CA2","","","7AT 324207 A14:43","","BONITA","VONS MARKET","CA","24000162865"
"321542","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-08","","KY1","","","7AT 422116 301:46","","HARRODSBURG","WALMART SUPERCENTER","KY","24000162865"
"321543","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-09-09","","KY1","","","7EC 425316 303:08","","HARRODSBURG","WALMART SUPERCENTER","KY","24000162865"
"321544","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-08","","KY1","","","7AT 422116 301:46","","HARRODSBURG","WALMART SUPERCENTER","KY","24000162865"
"321548","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-11-01","","IA","","","7AT 430650 3602:39","","ESTHERVILLE","HY VEE FOOD STORE","IA","24000162865"
"321549","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-11-01","","IA","","","7AT 430650 3602:44","","ESTHERVILLE","HY VEE FOOD STORE","IA","24000162865"
