"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"11031","328637","328508","","","","","","","","","",""
"10998","328637","327980","","","","","","","","","",""
"11017","328637","328305","","","","","","","","","",""
"11033","328637","328541","","","","","","","","","",""
"11011","328637","328191","","","","","","","","","",""
"11012","328637","328208","","","","","","","","","",""
"11026","328637","328432","","","","","","","","","",""
"11040","328637","328620","","","","","","","","","",""
"11018","328637","328326","","","","","","","","","",""
"11038","328637","328594","","","","","","","","","",""
"11024","328637","328394","","","","","","","","","",""
"11035","328637","328559","","","","","","","","","",""
"11036","328637","328567","","","","","","","","","",""
"11007","328637","328122","","","","","","","","","",""
"11019","328637","328335","","","","","","","","","",""
"11020","328637","328344","","","","","","","","","",""
"11023","328637","328376","","","","","","","","","",""
"11002","328637","328045","","","","","","","","","",""
"11008","328637","328130","","","","","","","","","",""
"11014","328637","328248","","","","","","","","","",""
"11004","328637","328070","","","","","","","","","",""
"11010","328637","328175","","","","","","","","","",""
"11016","328637","328286","","","","","","","","","",""
"11022","328637","328358","","","","","","","","","",""
"11029","328637","328472","","","","","","","","","",""
"10995","328637","327936","","","","","","","","","",""
"11030","328637","328490","","","","","","","","","",""
"11039","328637","328601","","","","","","","","","",""
"10994","328637","327924","","","","","","","","","",""
"11021","328637","328351","","","","","","","","","",""
"11025","328637","328413","","","","","","","","","",""
"11000","328637","328008","","","","","","","","","",""
"11001","328637","328020","","","","","","","","","",""
"11037","328637","328585","","","","","","","","","",""
"11032","328637","328529","","","","","","","","","",""
"11015","328637","328266","","","","","","","","","",""
"11003","328637","328057","","","","","","","","","",""
"11005","328637","328094","","","","","","","","","",""
"10996","328637","327948","","","","","","","","","",""
"11048","328841","328721","","","","","","","","","",""
"11046","328841","328695","","","","","","","","","",""
"11044","328841","328660","","","","","","","","","",""
"11050","328841","328736","","","","","","","","","",""
"11042","328841","328646","","","","","","","","","",""
"11056","328841","328824","","","","","","","","","",""
"11051","328841","328751","","","","","","","","","",""
"11049","328841","328729","","","","","","","","","",""
"11052","328841","328769","","","","","","","","","",""
"11047","328841","328713","","","","","","","","","",""
"11054","328841","328793","","","","","","","","","",""
"11043","328841","328652","","","","","","","","","",""
"11041","328841","328638","","","","","","","","","",""
"11053","328841","328785","","","","","","","","","",""
"11045","328841","328679","","","","","","","","","",""
"11055","328841","328809","","","","","","","","","",""
"11065","329370","328967","","","","","","","","","",""
"11059","329370","328857","","","","","","","","","",""
"11067","329370","329000","","","","","","","","","",""
"11061","329370","328881","","","","","","","","","",""
"11057","329370","328842","","","","","","","","","",""
"11091","329370","329316","","","","","","","","","",""
"11093","329370","329346","","","","","","","","","",""
"11069","329370","329024","","","","","","","","","",""
"11085","329370","329240","","","","","","","","","",""
"11068","329370","329012","","","","","","","","","",""
